,Case,Method,abs_diff_mean,event,num_experts,num_factors,weight,year
0,Overall,Overlap - Dist,12.668085106382978,,,50.0,0.0,
1,Crowd,Overlap - Dist,12.781659388646288,,,50.0,0.0,
2,Expert,Overlap - Dist,8.333333333333334,,,50.0,0.0,
0,Overall,Overlap - Dist,12.693617021276596,,,50.0,0.1,
1,Crowd,Overlap - Dist,12.807860262008735,,,50.0,0.1,
2,Expert,Overlap - Dist,8.333333333333334,,,50.0,0.1,
0,Overall,Overlap - Dist,12.672340425531916,,,50.0,0.2,
1,Crowd,Overlap - Dist,12.781659388646288,,,50.0,0.2,
2,Expert,Overlap - Dist,8.5,,,50.0,0.2,
0,Overall,Overlap - Dist,12.676595744680851,,,50.0,0.3,
1,Crowd,Overlap - Dist,12.790393013100436,,,50.0,0.3,
2,Expert,Overlap - Dist,8.333333333333334,,,50.0,0.3,
0,Overall,Overlap - Dist,12.676595744680851,,,50.0,0.4,
1,Crowd,Overlap - Dist,12.790393013100436,,,50.0,0.4,
2,Expert,Overlap - Dist,8.333333333333334,,,50.0,0.4,
0,Overall,Overlap - Dist,12.642553191489363,,,50.0,0.5,
1,Crowd,Overlap - Dist,12.751091703056769,,,50.0,0.5,
2,Expert,Overlap - Dist,8.5,,,50.0,0.5,
0,Overall,Overlap - Dist,12.617021276595745,,,50.0,0.6,
1,Crowd,Overlap - Dist,12.724890829694322,,,50.0,0.6,
2,Expert,Overlap - Dist,8.5,,,50.0,0.6,
0,Overall,Overlap - Dist,12.617021276595745,,,50.0,0.7,
1,Crowd,Overlap - Dist,12.724890829694322,,,50.0,0.7,
2,Expert,Overlap - Dist,8.5,,,50.0,0.7,
0,Overall,Overlap - Dist,12.451063829787234,,,50.0,0.8,
1,Crowd,Overlap - Dist,12.550218340611353,,,50.0,0.8,
2,Expert,Overlap - Dist,8.666666666666666,,,50.0,0.8,
0,Overall,Overlap - Dist,12.451063829787234,,,50.0,0.9,
1,Crowd,Overlap - Dist,12.550218340611353,,,50.0,0.9,
2,Expert,Overlap - Dist,8.666666666666666,,,50.0,0.9,
0,Overall,Overlap - Dist,12.527659574468085,,,50.0,1.0,
1,Crowd,Overlap - Dist,12.62882096069869,,,50.0,1.0,
2,Expert,Overlap - Dist,8.666666666666666,,,50.0,1.0,
0,Overall,Factorization,12.668085106382978,,,50.0,0.0,
1,Crowd,Factorization,12.781659388646288,,,50.0,0.0,
2,Expert,Factorization,8.333333333333334,,,50.0,0.0,
0,Overall,Factorization,12.668085106382978,,,50.0,0.1,
1,Crowd,Factorization,12.781659388646288,,,50.0,0.1,
2,Expert,Factorization,8.333333333333334,,,50.0,0.1,
0,Overall,Factorization,12.668085106382978,,,50.0,0.2,
1,Crowd,Factorization,12.781659388646288,,,50.0,0.2,
2,Expert,Factorization,8.333333333333334,,,50.0,0.2,
0,Overall,Factorization,12.668085106382978,,,50.0,0.3,
1,Crowd,Factorization,12.781659388646288,,,50.0,0.3,
2,Expert,Factorization,8.333333333333334,,,50.0,0.3,
0,Overall,Factorization,12.668085106382978,,,50.0,0.4,
1,Crowd,Factorization,12.781659388646288,,,50.0,0.4,
2,Expert,Factorization,8.333333333333334,,,50.0,0.4,
0,Overall,Factorization,12.693617021276596,,,50.0,0.5,
1,Crowd,Factorization,12.807860262008735,,,50.0,0.5,
2,Expert,Factorization,8.333333333333334,,,50.0,0.5,
0,Overall,Factorization,12.693617021276596,,,50.0,0.6,
1,Crowd,Factorization,12.807860262008735,,,50.0,0.6,
2,Expert,Factorization,8.333333333333334,,,50.0,0.6,
0,Overall,Factorization,12.672340425531916,,,50.0,0.7,
1,Crowd,Factorization,12.781659388646288,,,50.0,0.7,
2,Expert,Factorization,8.5,,,50.0,0.7,
0,Overall,Factorization,12.659574468085106,,,50.0,0.8,
1,Crowd,Factorization,12.764192139737991,,,50.0,0.8,
2,Expert,Factorization,8.666666666666666,,,50.0,0.8,
0,Overall,Factorization,12.676595744680851,,,50.0,0.9,
1,Crowd,Factorization,12.790393013100436,,,50.0,0.9,
2,Expert,Factorization,8.333333333333334,,,50.0,0.9,
0,Overall,Factorization,12.527659574468085,,,50.0,1.0,
1,Crowd,Factorization,12.62882096069869,,,50.0,1.0,
2,Expert,Factorization,8.666666666666666,,,50.0,1.0,
0,Overall,Crowd-predicted,12.608510638297872,,,50.0,0.0,
1,Crowd,Crowd-predicted,12.720524017467248,,,50.0,0.0,
2,Expert,Crowd-predicted,8.333333333333334,,,50.0,0.0,
0,Overall,Crowd-predicted,12.608510638297872,,,50.0,0.1,
1,Crowd,Crowd-predicted,12.720524017467248,,,50.0,0.1,
2,Expert,Crowd-predicted,8.333333333333334,,,50.0,0.1,
0,Overall,Crowd-predicted,12.608510638297872,,,50.0,0.2,
1,Crowd,Crowd-predicted,12.720524017467248,,,50.0,0.2,
2,Expert,Crowd-predicted,8.333333333333334,,,50.0,0.2,
0,Overall,Crowd-predicted,12.608510638297872,,,50.0,0.3,
1,Crowd,Crowd-predicted,12.720524017467248,,,50.0,0.3,
2,Expert,Crowd-predicted,8.333333333333334,,,50.0,0.3,
0,Overall,Crowd-predicted,12.608510638297872,,,50.0,0.4,
1,Crowd,Crowd-predicted,12.720524017467248,,,50.0,0.4,
2,Expert,Crowd-predicted,8.333333333333334,,,50.0,0.4,
0,Overall,Crowd-predicted,12.591489361702127,,,50.0,0.5,
1,Crowd,Crowd-predicted,12.68995633187773,,,50.0,0.5,
2,Expert,Crowd-predicted,8.833333333333334,,,50.0,0.5,
0,Overall,Crowd-predicted,12.591489361702127,,,50.0,0.6,
1,Crowd,Crowd-predicted,12.68995633187773,,,50.0,0.6,
2,Expert,Crowd-predicted,8.833333333333334,,,50.0,0.6,
0,Overall,Crowd-predicted,12.617021276595745,,,50.0,0.7,
1,Crowd,Crowd-predicted,12.716157205240174,,,50.0,0.7,
2,Expert,Crowd-predicted,8.833333333333334,,,50.0,0.7,
0,Overall,Crowd-predicted,12.591489361702127,,,50.0,0.8,
1,Crowd,Crowd-predicted,12.68995633187773,,,50.0,0.8,
2,Expert,Crowd-predicted,8.833333333333334,,,50.0,0.8,
0,Overall,Crowd-predicted,12.587234042553192,,,50.0,0.9,
1,Crowd,Crowd-predicted,12.681222707423581,,,50.0,0.9,
2,Expert,Crowd-predicted,9.0,,,50.0,0.9,
0,Overall,Crowd-predicted,12.527659574468085,,,50.0,1.0,
1,Crowd,Crowd-predicted,12.62882096069869,,,50.0,1.0,
2,Expert,Crowd-predicted,8.666666666666666,,,50.0,1.0,
0,Overall,All-predicted,12.625531914893617,,,50.0,0.0,
1,Crowd,All-predicted,12.737991266375547,,,50.0,0.0,
2,Expert,All-predicted,8.333333333333334,,,50.0,0.0,
0,Overall,All-predicted,12.625531914893617,,,50.0,0.1,
1,Crowd,All-predicted,12.737991266375547,,,50.0,0.1,
2,Expert,All-predicted,8.333333333333334,,,50.0,0.1,
0,Overall,All-predicted,12.625531914893617,,,50.0,0.2,
1,Crowd,All-predicted,12.737991266375547,,,50.0,0.2,
2,Expert,All-predicted,8.333333333333334,,,50.0,0.2,
0,Overall,All-predicted,12.625531914893617,,,50.0,0.3,
1,Crowd,All-predicted,12.737991266375547,,,50.0,0.3,
2,Expert,All-predicted,8.333333333333334,,,50.0,0.3,
0,Overall,All-predicted,12.668085106382978,,,50.0,0.4,
1,Crowd,All-predicted,12.768558951965066,,,50.0,0.4,
2,Expert,All-predicted,8.833333333333334,,,50.0,0.4,
0,Overall,All-predicted,12.659574468085106,,,50.0,0.5,
1,Crowd,All-predicted,12.759825327510917,,,50.0,0.5,
2,Expert,All-predicted,8.833333333333334,,,50.0,0.5,
0,Overall,All-predicted,12.676595744680851,,,50.0,0.6,
1,Crowd,All-predicted,12.777292576419214,,,50.0,0.6,
2,Expert,All-predicted,8.833333333333334,,,50.0,0.6,
0,Overall,All-predicted,12.676595744680851,,,50.0,0.7,
1,Crowd,All-predicted,12.777292576419214,,,50.0,0.7,
2,Expert,All-predicted,8.833333333333334,,,50.0,0.7,
0,Overall,All-predicted,12.651063829787233,,,50.0,0.8,
1,Crowd,All-predicted,12.751091703056769,,,50.0,0.8,
2,Expert,All-predicted,8.833333333333334,,,50.0,0.8,
0,Overall,All-predicted,12.651063829787233,,,50.0,0.9,
1,Crowd,All-predicted,12.751091703056769,,,50.0,0.9,
2,Expert,All-predicted,8.833333333333334,,,50.0,0.9,
0,Overall,All-predicted,12.527659574468085,,,50.0,1.0,
1,Crowd,All-predicted,12.62882096069869,,,50.0,1.0,
2,Expert,All-predicted,8.666666666666666,,,50.0,1.0,
0,Overall,clust_quality,12.638297872340425,,,50.0,0.0,
1,Crowd,clust_quality,12.759825327510917,,,50.0,0.0,
2,Expert,clust_quality,8.0,,,50.0,0.0,
0,Overall,clust_quality,12.638297872340425,,,50.0,0.1,
1,Crowd,clust_quality,12.759825327510917,,,50.0,0.1,
2,Expert,clust_quality,8.0,,,50.0,0.1,
0,Overall,clust_quality,12.638297872340425,,,50.0,0.2,
1,Crowd,clust_quality,12.737991266375547,,,50.0,0.2,
2,Expert,clust_quality,8.833333333333334,,,50.0,0.2,
0,Overall,clust_quality,12.646808510638298,,,50.0,0.3,
1,Crowd,clust_quality,12.746724890829695,,,50.0,0.3,
2,Expert,clust_quality,8.833333333333334,,,50.0,0.3,
0,Overall,clust_quality,12.62127659574468,,,50.0,0.4,
1,Crowd,clust_quality,12.720524017467248,,,50.0,0.4,
2,Expert,clust_quality,8.833333333333334,,,50.0,0.4,
0,Overall,clust_quality,12.62127659574468,,,50.0,0.5,
1,Crowd,clust_quality,12.720524017467248,,,50.0,0.5,
2,Expert,clust_quality,8.833333333333334,,,50.0,0.5,
0,Overall,clust_quality,12.672340425531916,,,50.0,0.6,
1,Crowd,clust_quality,12.790393013100436,,,50.0,0.6,
2,Expert,clust_quality,8.166666666666666,,,50.0,0.6,
0,Overall,clust_quality,12.668085106382978,,,50.0,0.7,
1,Crowd,clust_quality,12.781659388646288,,,50.0,0.7,
2,Expert,clust_quality,8.333333333333334,,,50.0,0.7,
0,Overall,clust_quality,12.574468085106384,,,50.0,0.8,
1,Crowd,clust_quality,12.681222707423581,,,50.0,0.8,
2,Expert,clust_quality,8.5,,,50.0,0.8,
0,Overall,clust_quality,12.451063829787234,,,50.0,0.9,
1,Crowd,clust_quality,12.550218340611353,,,50.0,0.9,
2,Expert,clust_quality,8.666666666666666,,,50.0,0.9,
0,Overall,clust_quality,12.527659574468085,,,50.0,1.0,
1,Crowd,clust_quality,12.62882096069869,,,50.0,1.0,
2,Expert,clust_quality,8.666666666666666,,,50.0,1.0,
