,Case,Method,Satisfaction,event,num_experts,num_factors,weight,year
0,Overall,Overlap - Dist,1.8510638297872342,,,50.0,0.0,
1,Crowd,Overlap - Dist,1.7685589519650655,,,50.0,0.0,
2,Expert,Overlap - Dist,5.0,,,50.0,0.0,
0,Overall,Overlap - Dist,1.8510638297872342,,,50.0,0.1,
1,Crowd,Overlap - Dist,1.7685589519650655,,,50.0,0.1,
2,Expert,Overlap - Dist,5.0,,,50.0,0.1,
0,Overall,Overlap - Dist,1.8553191489361702,,,50.0,0.2,
1,Crowd,Overlap - Dist,1.7729257641921399,,,50.0,0.2,
2,Expert,Overlap - Dist,5.0,,,50.0,0.2,
0,Overall,Overlap - Dist,1.8595744680851065,,,50.0,0.3,
1,Crowd,Overlap - Dist,1.7772925764192142,,,50.0,0.3,
2,Expert,Overlap - Dist,5.0,,,50.0,0.3,
0,Overall,Overlap - Dist,1.8595744680851065,,,50.0,0.4,
1,Crowd,Overlap - Dist,1.7772925764192142,,,50.0,0.4,
2,Expert,Overlap - Dist,5.0,,,50.0,0.4,
0,Overall,Overlap - Dist,1.8553191489361702,,,50.0,0.5,
1,Crowd,Overlap - Dist,1.7729257641921399,,,50.0,0.5,
2,Expert,Overlap - Dist,5.0,,,50.0,0.5,
0,Overall,Overlap - Dist,1.8553191489361702,,,50.0,0.6,
1,Crowd,Overlap - Dist,1.7729257641921399,,,50.0,0.6,
2,Expert,Overlap - Dist,5.0,,,50.0,0.6,
0,Overall,Overlap - Dist,1.8553191489361702,,,50.0,0.7,
1,Crowd,Overlap - Dist,1.7729257641921399,,,50.0,0.7,
2,Expert,Overlap - Dist,5.0,,,50.0,0.7,
0,Overall,Overlap - Dist,1.8638297872340428,,,50.0,0.8,
1,Crowd,Overlap - Dist,1.7816593886462884,,,50.0,0.8,
2,Expert,Overlap - Dist,5.0,,,50.0,0.8,
0,Overall,Overlap - Dist,1.8638297872340428,,,50.0,0.9,
1,Crowd,Overlap - Dist,1.7816593886462884,,,50.0,0.9,
2,Expert,Overlap - Dist,5.0,,,50.0,0.9,
0,Overall,Overlap - Dist,1.8638297872340428,,,50.0,1.0,
1,Crowd,Overlap - Dist,1.7816593886462884,,,50.0,1.0,
2,Expert,Overlap - Dist,5.0,,,50.0,1.0,
0,Overall,Factorization,1.8510638297872342,,,50.0,0.0,
1,Crowd,Factorization,1.7685589519650655,,,50.0,0.0,
2,Expert,Factorization,5.0,,,50.0,0.0,
0,Overall,Factorization,1.8510638297872342,,,50.0,0.1,
1,Crowd,Factorization,1.7685589519650655,,,50.0,0.1,
2,Expert,Factorization,5.0,,,50.0,0.1,
0,Overall,Factorization,1.8510638297872342,,,50.0,0.2,
1,Crowd,Factorization,1.7685589519650655,,,50.0,0.2,
2,Expert,Factorization,5.0,,,50.0,0.2,
0,Overall,Factorization,1.8510638297872342,,,50.0,0.3,
1,Crowd,Factorization,1.7685589519650655,,,50.0,0.3,
2,Expert,Factorization,5.0,,,50.0,0.3,
0,Overall,Factorization,1.8510638297872342,,,50.0,0.4,
1,Crowd,Factorization,1.7685589519650655,,,50.0,0.4,
2,Expert,Factorization,5.0,,,50.0,0.4,
0,Overall,Factorization,1.8510638297872342,,,50.0,0.5,
1,Crowd,Factorization,1.7685589519650655,,,50.0,0.5,
2,Expert,Factorization,5.0,,,50.0,0.5,
0,Overall,Factorization,1.8510638297872342,,,50.0,0.6,
1,Crowd,Factorization,1.7685589519650655,,,50.0,0.6,
2,Expert,Factorization,5.0,,,50.0,0.6,
0,Overall,Factorization,1.8553191489361702,,,50.0,0.7,
1,Crowd,Factorization,1.7729257641921399,,,50.0,0.7,
2,Expert,Factorization,5.0,,,50.0,0.7,
0,Overall,Factorization,1.8553191489361704,,,50.0,0.8,
1,Crowd,Factorization,1.77292576419214,,,50.0,0.8,
2,Expert,Factorization,5.0,,,50.0,0.8,
0,Overall,Factorization,1.8595744680851065,,,50.0,0.9,
1,Crowd,Factorization,1.7772925764192142,,,50.0,0.9,
2,Expert,Factorization,5.0,,,50.0,0.9,
0,Overall,Factorization,1.8638297872340428,,,50.0,1.0,
1,Crowd,Factorization,1.7816593886462884,,,50.0,1.0,
2,Expert,Factorization,5.0,,,50.0,1.0,
0,Overall,Crowd-predicted,1.8553191489361704,,,50.0,0.0,
1,Crowd,Crowd-predicted,1.7729257641921399,,,50.0,0.0,
2,Expert,Crowd-predicted,5.0,,,50.0,0.0,
0,Overall,Crowd-predicted,1.8553191489361704,,,50.0,0.1,
1,Crowd,Crowd-predicted,1.7729257641921399,,,50.0,0.1,
2,Expert,Crowd-predicted,5.0,,,50.0,0.1,
0,Overall,Crowd-predicted,1.8553191489361704,,,50.0,0.2,
1,Crowd,Crowd-predicted,1.7729257641921399,,,50.0,0.2,
2,Expert,Crowd-predicted,5.0,,,50.0,0.2,
0,Overall,Crowd-predicted,1.8553191489361704,,,50.0,0.3,
1,Crowd,Crowd-predicted,1.7729257641921399,,,50.0,0.3,
2,Expert,Crowd-predicted,5.0,,,50.0,0.3,
0,Overall,Crowd-predicted,1.8553191489361704,,,50.0,0.4,
1,Crowd,Crowd-predicted,1.7729257641921399,,,50.0,0.4,
2,Expert,Crowd-predicted,5.0,,,50.0,0.4,
0,Overall,Crowd-predicted,1.8595744680851065,,,50.0,0.5,
1,Crowd,Crowd-predicted,1.777292576419214,,,50.0,0.5,
2,Expert,Crowd-predicted,5.0,,,50.0,0.5,
0,Overall,Crowd-predicted,1.8595744680851065,,,50.0,0.6,
1,Crowd,Crowd-predicted,1.777292576419214,,,50.0,0.6,
2,Expert,Crowd-predicted,5.0,,,50.0,0.6,
0,Overall,Crowd-predicted,1.8595744680851065,,,50.0,0.7,
1,Crowd,Crowd-predicted,1.777292576419214,,,50.0,0.7,
2,Expert,Crowd-predicted,5.0,,,50.0,0.7,
0,Overall,Crowd-predicted,1.8595744680851065,,,50.0,0.8,
1,Crowd,Crowd-predicted,1.777292576419214,,,50.0,0.8,
2,Expert,Crowd-predicted,5.0,,,50.0,0.8,
0,Overall,Crowd-predicted,1.8595744680851065,,,50.0,0.9,
1,Crowd,Crowd-predicted,1.7772925764192142,,,50.0,0.9,
2,Expert,Crowd-predicted,5.0,,,50.0,0.9,
0,Overall,Crowd-predicted,1.8638297872340428,,,50.0,1.0,
1,Crowd,Crowd-predicted,1.7816593886462884,,,50.0,1.0,
2,Expert,Crowd-predicted,5.0,,,50.0,1.0,
0,Overall,All-predicted,1.8553191489361704,,,50.0,0.0,
1,Crowd,All-predicted,1.7729257641921399,,,50.0,0.0,
2,Expert,All-predicted,5.0,,,50.0,0.0,
0,Overall,All-predicted,1.8553191489361704,,,50.0,0.1,
1,Crowd,All-predicted,1.7729257641921399,,,50.0,0.1,
2,Expert,All-predicted,5.0,,,50.0,0.1,
0,Overall,All-predicted,1.8553191489361704,,,50.0,0.2,
1,Crowd,All-predicted,1.7729257641921399,,,50.0,0.2,
2,Expert,All-predicted,5.0,,,50.0,0.2,
0,Overall,All-predicted,1.8553191489361704,,,50.0,0.3,
1,Crowd,All-predicted,1.7729257641921399,,,50.0,0.3,
2,Expert,All-predicted,5.0,,,50.0,0.3,
0,Overall,All-predicted,1.8510638297872342,,,50.0,0.4,
1,Crowd,All-predicted,1.7685589519650655,,,50.0,0.4,
2,Expert,All-predicted,5.0,,,50.0,0.4,
0,Overall,All-predicted,1.8510638297872342,,,50.0,0.5,
1,Crowd,All-predicted,1.7685589519650655,,,50.0,0.5,
2,Expert,All-predicted,5.0,,,50.0,0.5,
0,Overall,All-predicted,1.8510638297872342,,,50.0,0.6,
1,Crowd,All-predicted,1.7685589519650655,,,50.0,0.6,
2,Expert,All-predicted,5.0,,,50.0,0.6,
0,Overall,All-predicted,1.8510638297872342,,,50.0,0.7,
1,Crowd,All-predicted,1.7685589519650655,,,50.0,0.7,
2,Expert,All-predicted,5.0,,,50.0,0.7,
0,Overall,All-predicted,1.8510638297872342,,,50.0,0.8,
1,Crowd,All-predicted,1.7685589519650655,,,50.0,0.8,
2,Expert,All-predicted,5.0,,,50.0,0.8,
0,Overall,All-predicted,1.8510638297872342,,,50.0,0.9,
1,Crowd,All-predicted,1.7685589519650655,,,50.0,0.9,
2,Expert,All-predicted,5.0,,,50.0,0.9,
0,Overall,All-predicted,1.8638297872340428,,,50.0,1.0,
1,Crowd,All-predicted,1.7816593886462884,,,50.0,1.0,
2,Expert,All-predicted,5.0,,,50.0,1.0,
0,Overall,clust_quality,1.8595744680851065,,,50.0,0.0,
1,Crowd,clust_quality,1.7772925764192142,,,50.0,0.0,
2,Expert,clust_quality,5.0,,,50.0,0.0,
0,Overall,clust_quality,1.8595744680851065,,,50.0,0.1,
1,Crowd,clust_quality,1.7772925764192142,,,50.0,0.1,
2,Expert,clust_quality,5.0,,,50.0,0.1,
0,Overall,clust_quality,1.8595744680851065,,,50.0,0.2,
1,Crowd,clust_quality,1.777292576419214,,,50.0,0.2,
2,Expert,clust_quality,5.0,,,50.0,0.2,
0,Overall,clust_quality,1.8595744680851065,,,50.0,0.3,
1,Crowd,clust_quality,1.777292576419214,,,50.0,0.3,
2,Expert,clust_quality,5.0,,,50.0,0.3,
0,Overall,clust_quality,1.8595744680851065,,,50.0,0.4,
1,Crowd,clust_quality,1.777292576419214,,,50.0,0.4,
2,Expert,clust_quality,5.0,,,50.0,0.4,
0,Overall,clust_quality,1.8595744680851065,,,50.0,0.5,
1,Crowd,clust_quality,1.777292576419214,,,50.0,0.5,
2,Expert,clust_quality,5.0,,,50.0,0.5,
0,Overall,clust_quality,1.8595744680851065,,,50.0,0.6,
1,Crowd,clust_quality,1.777292576419214,,,50.0,0.6,
2,Expert,clust_quality,5.0,,,50.0,0.6,
0,Overall,clust_quality,1.8595744680851065,,,50.0,0.7,
1,Crowd,clust_quality,1.7772925764192142,,,50.0,0.7,
2,Expert,clust_quality,5.0,,,50.0,0.7,
0,Overall,clust_quality,1.8638297872340428,,,50.0,0.8,
1,Crowd,clust_quality,1.7816593886462884,,,50.0,0.8,
2,Expert,clust_quality,5.0,,,50.0,0.8,
0,Overall,clust_quality,1.8638297872340428,,,50.0,0.9,
1,Crowd,clust_quality,1.7816593886462884,,,50.0,0.9,
2,Expert,clust_quality,5.0,,,50.0,0.9,
0,Overall,clust_quality,1.8638297872340428,,,50.0,1.0,
1,Crowd,clust_quality,1.7816593886462884,,,50.0,1.0,
2,Expert,clust_quality,5.0,,,50.0,1.0,
